287.386: [GC 1059966K->807726K(1279296K), 0.2478620 secs]
288.150: [GC 1041646K->824958K(1288192K), 0.3640510 secs]
289.166: [GC 1083262K->807022K(1294336K), 0.1021060 secs]
289.817: [GC 1065326K->807950K(1306944K), 0.1425770 secs]
290.428: [GC 1089678K->826190K(1311552K), 0.2910360 secs]
291.274: [GC 1107918K->826446K(1319808K), 0.3006270 secs]
292.126: [GC 1134990K->810702K(1325568K), 0.1919280 secs]
292.894: [GC 1119246K->832526K(1347456K), 0.3281210 secs]
293.883: [GC 1170318K->822574K(1349376K), 0.2589840 secs]
294.854: [GC 1160366K->847790K(1352320K), 0.5000590 secs]
295.971: [GC 1193006K->1025262K(1370560K), 1.7399130 secs]
297.711: [Full GC 1025262K->466159K(1382912K), 10.2489230 secs]
308.794: [GC 811375K->603071K(1210880K), 1.3322340 secs]
310.533: [GC 772863K->680223K(1296896K), 1.0974960 secs]
311.941: [GC 850015K->702967K(1296896K), 1.3608810 secs]
313.712: [GC 872759K->762207K(1296896K), 1.9017280 secs]
316.122: [GC 931999K->802447K(1296896K), 2.1199080 secs]
318.562: [GC 972239K->843015K(1296896K), 1.3787750 secs]
320.336: [GC 1012807K->828335K(1296896K), 0.7776760 secs]
321.427: [GC 998127K->833063K(1296896K), 0.2821870 secs]
322.034: [GC 1002855K->837783K(1296896K), 0.2957630 secs]
322.649: [GC 1007575K->823495K(1296896K), 0.2075690 secs]
323.128: [GC 993287K->846327K(1296896K), 0.3414990 secs]
323.806: [GC 1016119K->814727K(1296896K), 0.1634020 secs]
324.342: [GC 984519K->836895K(1296896K), 0.3502740 secs]
325.051: [GC 1006687K->823495K(1296896K), 0.2176050 secs]
325.544: [GC 993287K->827927K(1296896K), 0.2617130 secs]
326.120: [GC 997719K->832447K(1296896K), 0.2746670 secs]
326.717: [GC 1002239K->819023K(1292672K), 0.2020980 secs]
327.202: [GC 988815K->842111K(1167936K), 0.3413700 secs]
327.829: [GC 1011903K->827951K(1297600K), 0.2599900 secs]
328.491: [GC 1011247K->825023K(1290752K), 0.2342700 secs]
329.055: [GC 1008319K->839503K(1290752K), 0.3157020 secs]
329.731: [GC 1044495K->834279K(1296960K), 0.2775240 secs]
330.406: [GC 1039271K->830167K(1300672K), 0.2566890 secs]
331.042: [GC 1058967K->824991K(1307264K), 0.2543700 secs]
331.739: [GC 1053791K->820719K(1318016K), 0.1719230 secs]
332.433: [GC 1074863K->817919K(1323328K), 0.1915010 secs]
333.077: [GC 1072063K->833319K(1333376K), 0.2654130 secs]
333.896: [GC 1114727K->815863K(1339968K), 0.1535850 secs]
334.572: [GC 1097271K->816711K(1356672K), 0.1735910 secs]
335.337: [GC 1125895K->818391K(1361088K), 0.1898860 secs]
336.142: [GC 1127575K->821575K(1362688K), 0.3706590 secs]
337.101: [GC 1145735K->836055K(1367616K), 0.2927940 secs]
338.054: [GC 1160215K->814791K(1374080K), 0.1873020 secs]
338.910: [GC 1155463K->897527K(1377984K), 1.0110350 secs]
340.983: [GC 1238199K->1071519K(1241344K), 2.5195840 secs]
343.503: [Full GC 1071519K->506160K(1276992K), 10.7998920 secs]
354.679: [GC 675952K->607856K(1358080K), 0.7838920 secs]
355.736: [GC 777648K->630792K(1357568K), 0.8934510 secs]
356.979: [GC 800584K->635104K(1215616K), 0.3817790 secs]
357.627: [GC 804896K->638480K(1359424K), 0.2357310 secs]
358.182: [GC 815312K->630328K(1353152K), 0.1866900 secs]
358.749: [GC 807160K->657800K(1359616K), 0.3507740 secs]
359.406: [GC 855240K->702176K(1358720K), 0.8648950 secs]
360.641: [GC 899616K->746712K(1375296K), 0.8611770 secs]
361.998: [GC 970200K->792752K(1377728K), 1.0881390 secs]
363.536: [GC 1016240K->819912K(1381184K), 0.7982400 secs]
364.746: [GC 1060808K->824008K(1386368K), 0.4662090 secs]
365.598: [GC 1064904K->827224K(1390400K), 0.2476100 secs]
366.327: [GC 1086424K->826952K(1396352K), 0.2592620 secs]
367.245: [GC 1086152K->827096K(1398976K), 0.2939650 secs]
368.066: [GC 1103576K->804424K(1404864K), 0.1824810 secs]
368.687: [GC 1080904K->800152K(1416384K), 0.1212340 secs]
369.306: [GC 1090200K->806368K(1417408K), 0.1702170 secs]
370.057: [GC 1096416K->813808K(1412224K), 0.2357000 secs]
370.933: [GC 1108016K->806208K(1414848K), 0.1790970 secs]
371.601: [GC 1100416K->797552K(1422720K), 0.1081770 secs]
372.202: [GC 1105584K->817968K(1424064K), 0.2486760 secs]
373.042: [GC 1126000K->802968K(1427584K), 0.1517180 secs]
373.701: [GC 1121368K->795384K(1425856K), 0.0820730 secs]
374.306: [GC 1113784K->824760K(1435520K), 0.3187440 secs]
