207.692: [GC 1011287K->869106K(1502272K), 1.0956600 secs]
209.271: [GC 1073586K->983891K(1502272K), 1.7832120 secs]
211.557: [GC 1188371K->1093959K(1502272K), 1.8494540 secs]
213.894: [GC 1298439K->1203570K(1502272K), 2.3707550 secs]
219.342: [Full GC 1408050K->540481K(1502272K), 5.0987920 secs]
224.913: [GC 744961K->606008K(1502272K), 0.7162450 secs]
225.990: [GC 810488K->642548K(1502272K), 0.6884660 secs]
227.087: [GC 847028K->651270K(1502272K), 0.2820270 secs]
227.666: [GC 855750K->654708K(1502272K), 0.3261850 secs]
228.358: [GC 859188K->658268K(1502272K), 0.2693780 secs]
229.021: [GC 862748K->668447K(1502272K), 0.4054950 secs]
229.809: [GC 872927K->673807K(1502272K), 0.2972220 secs]
230.429: [GC 878287K->674701K(1502272K), 0.2760120 secs]
231.103: [GC 879181K->673888K(1502272K), 0.2494670 secs]
231.741: [GC 878368K->683695K(1502272K), 0.4288690 secs]
232.637: [GC 888175K->681656K(1502272K), 0.2518670 secs]
233.327: [GC 886136K->684524K(1502272K), 0.4922780 secs]
234.337: [GC 889004K->684745K(1502272K), 0.3284920 secs]
235.105: [GC 889225K->677671K(1502272K), 0.1316390 secs]
235.590: [GC 882151K->704170K(1502272K), 0.5476040 secs]
236.631: [GC 908650K->717355K(1502272K), 0.4423560 secs]
237.477: [GC 921835K->716662K(1502272K), 0.2377840 secs]
238.090: [GC 921142K->720552K(1502272K), 0.3181430 secs]
238.731: [GC 925032K->724053K(1502272K), 0.2402880 secs]
239.344: [GC 928533K->734408K(1502272K), 0.4247560 secs]
240.211: [GC 938888K->739064K(1502272K), 0.2710880 secs]
240.883: [GC 943544K->739339K(1502272K), 0.2031770 secs]
241.449: [GC 943819K->742630K(1502272K), 0.1846920 secs]
242.035: [GC 947110K->735852K(1502272K), 0.1921820 secs]
242.752: [GC 940332K->747377K(1502272K), 0.2868240 secs]
243.401: [GC 951857K->763812K(1502272K), 0.5844990 secs]
244.347: [GC 968292K->762914K(1502272K), 0.2122330 secs]
244.976: [GC 967394K->758728K(1502272K), 0.1759750 secs]
245.463: [GC 963208K->765999K(1502272K), 0.2923860 secs]
246.105: [GC 970479K->766007K(1502272K), 0.2024790 secs]
246.658: [GC 970487K->775860K(1502272K), 0.5606850 secs]
247.603: [GC 980340K->817087K(1502272K), 0.8125370 secs]
248.447: [GC 835219K(1502272K), 0.0759100 secs]
249.010: [GC 1021567K->895616K(1502272K), 1.5272450 secs]
250.985: [GC 1100096K->938006K(1502272K), 0.8314580 secs]
252.273: [GC 1142486K->1010749K(1502272K), 1.2072680 secs]
254.101: [GC 1215229K->1065806K(1502272K), 1.0194280 secs]
255.588: [GC 1270286K->1194238K(1502272K), 1.9476960 secs]
260.243: [Full GC 1398718K->560939K(1502272K), 5.5896700 secs]
266.286: [GC 765419K->639845K(1502272K), 0.7779150 secs]
267.495: [GC 844325K->659013K(1502272K), 0.5095750 secs]
268.352: [GC 863493K->671620K(1502272K), 0.3123260 secs]
269.013: [GC 876100K->675390K(1502272K), 0.2531220 secs]
269.591: [GC 879870K->675398K(1502272K), 0.0687930 secs]
270.020: [GC 879878K->673998K(1502272K), 0.1551190 secs]
270.525: [GC 878478K->682131K(1502272K), 0.3160770 secs]
271.191: [GC 886611K->684348K(1502272K), 0.2095550 secs]
271.756: [GC 888828K->699033K(1502272K), 0.3377960 secs]
272.429: [GC 903513K->707128K(1502272K), 0.3051200 secs]
273.043: [GC 911608K->707061K(1502272K), 0.0961200 secs]
273.425: [GC 911541K->721998K(1502272K), 0.3353210 secs]
274.112: [GC 926478K->731548K(1502272K), 0.3103260 secs]
274.727: [GC 936028K->730514K(1502272K), 0.1097540 secs]
275.196: [GC 934994K->733461K(1502272K), 0.2493940 secs]
275.734: [GC 937941K->733991K(1502272K), 0.1714540 secs]
276.225: [GC 938471K->742591K(1502272K), 0.2721240 secs]
276.829: [GC 947071K->739944K(1502272K), 0.1192590 secs]
277.263: [GC 944424K->722535K(1502272K), 0.0463130 secs]
277.636: [GC 927015K->751283K(1502272K), 0.3181300 secs]
278.282: [GC 955763K->755138K(1502272K), 0.2174500 secs]
278.810: [GC 959618K->758716K(1502272K), 0.1805890 secs]
279.303: [GC 963196K->769115K(1502272K), 0.3137040 secs]
279.957: [GC 973595K->767900K(1502272K), 0.1077440 secs]
280.368: [GC 972380K->769256K(1502272K), 0.1614350 secs]
280.836: [GC 973736K->769277K(1502272K), 0.1502170 secs]
281.302: [GC 973757K->775407K(1502272K), 0.3093160 secs]
281.965: [GC 979887K->792923K(1502272K), 0.3785250 secs]
282.689: [GC 997403K->794570K(1502272K), 0.1463740 secs]
283.177: [GC 999050K->801960K(1502272K), 0.2438990 secs]
283.767: [GC 1006440K->805919K(1502272K), 0.2420430 secs]
284.320: [GC 1010399K->856814K(1502272K), 0.7089220 secs]
285.036: [GC 859388K(1502272K), 0.0423110 secs]
285.461: [GC 1061294K->927354K(1502272K), 1.0019160 secs]
286.970: [GC 1131834K->986875K(1502272K), 0.8876670 secs]
288.332: [GC 1191355K->1042124K(1502272K), 0.8733140 secs]
289.569: [GC 1246604K->1101233K(1502272K), 0.9215570 secs]
290.884: [GC 1305713K->1199135K(1502272K), 1.3470480 secs]
294.812: [Full GC 1403615K->538278K(1502272K), 5.5095220 secs]
300.668: [GC 742758K->577245K(1502272K), 0.3206200 secs]
301.294: [GC 781725K->652970K(1502272K), 0.8892450 secs]
302.529: [GC 857450K->673088K(1502272K), 0.3674790 secs]
303.208: [GC 877568K->671995K(1502272K), 0.0791980 secs]
303.578: [GC 875394K->667954K(1502272K), 0.1385580 secs]
304.041: [GC 872434K->667609K(1502272K), 0.0886130 secs]
304.469: [GC 872089K->673116K(1502272K), 0.1632800 secs]
304.952: [GC 877596K->684048K(1502272K), 0.2937230 secs]
305.565: [GC 888528K->682610K(1502272K), 0.0957220 secs]
305.991: [GC 887090K->686229K(1502272K), 0.1670380 secs]
306.498: [GC 890709K->686664K(1502272K), 0.1409160 secs]
306.959: [GC 891144K->695517K(1502272K), 0.2717690 secs]
307.529: [GC 899997K->694256K(1502272K), 0.1093150 secs]
307.962: [GC 898736K->695525K(1502272K), 0.1621940 secs]
308.457: [GC 900005K->707129K(1502272K), 0.3463860 secs]
309.122: [GC 911609K->713178K(1502272K), 0.2365780 secs]
309.671: [GC 917658K->731775K(1502272K), 0.4086820 secs]
310.413: [GC 936255K->731711K(1502272K), 0.1560060 secs]
310.884: [GC 936191K->731793K(1502272K), 0.1622090 secs]
311.365: [GC 936273K->735149K(1502272K), 0.2062450 secs]
311.873: [GC 939629K->751726K(1502272K), 0.3771240 secs]
312.594: [GC 956206K->752053K(1502272K), 0.1852940 secs]
313.089: [GC 956533K->746512K(1502272K), 0.1074050 secs]
313.520: [GC 950992K->771689K(1502272K), 0.3738350 secs]
314.216: [GC 976169K->771689K(1502272K), 0.1921440 secs]
314.743: [GC 976169K->782063K(1502272K), 0.3359230 secs]
315.414: [GC 986543K->787199K(1502272K), 0.2335360 secs]
315.978: [GC 991679K->792507K(1502272K), 0.2055640 secs]
316.513: [GC 996987K->804886K(1502272K), 0.3440740 secs]
317.169: [GC 1009366K->812146K(1502272K), 0.2822050 secs]
317.761: [GC 1016626K->811916K(1502272K), 0.1320730 secs]
318.192: [GC 1016396K->812154K(1502272K), 0.1725520 secs]
318.685: [GC 1016634K->822068K(1502272K), 0.4115030 secs]
319.408: [GC 1026548K->890609K(1502272K), 0.8721920 secs]
320.310: [GC 902222K(1502272K), 0.0546710 secs]
320.740: [GC 1095089K->1032536K(1502272K), 1.8054860 secs]
322.892: [GC 1237016K->1155110K(1502272K), 1.6328970 secs]
325.948: [Full GC 1359590K->489145K(1502272K), 4.7546850 secs]
331.220: [GC 693625K->616019K(1502272K), 1.2025070 secs]
332.791: [GC 820499K->670279K(1502272K), 0.7559390 secs]
333.583: [GC 683819K(1502272K), 0.0734550 secs]
334.029: [GC 874759K->680634K(1502272K), 0.2998500 secs]
334.849: [GC 885114K->682338K(1502272K), 0.4372630 secs]
335.979: [GC 886818K->685928K(1502272K), 0.3076620 secs]
337.001: [GC 890408K->680692K(1502272K), 0.2914970 secs]
337.934: [GC 885172K->678625K(1502272K), 0.1779210 secs]
338.689: [GC 883105K->674726K(1502272K), 0.1757210 secs]
339.559: [GC 879206K->685116K(1502272K), 0.2565770 secs]
340.302: [GC 889596K->694692K(1502272K), 0.3608310 secs]
341.070: [GC 899172K->698445K(1502272K), 0.2412160 secs]
341.654: [GC 902925K->715098K(1502272K), 0.4827870 secs]
342.529: [GC 919578K->726849K(1502272K), 0.6016140 secs]
343.710: [GC 931329K->733994K(1502272K), 0.4300740 secs]
344.595: [GC 938474K->735893K(1502272K), 0.2641040 secs]
345.257: [GC 940373K->738234K(1502272K), 0.2750310 secs]
345.980: [GC 942714K->748446K(1502272K), 0.3899210 secs]
346.804: [GC 952926K->755929K(1502272K), 0.3491760 secs]
347.582: [GC 960409K->773859K(1502272K), 0.4943440 secs]
348.505: [GC 978339K->773465K(1502272K), 0.1849830 secs]
349.101: [GC 977945K->769843K(1502272K), 0.1490720 secs]
349.658: [GC 974323K->778500K(1502272K), 0.3433330 secs]
350.408: [GC 982980K->779443K(1502272K), 0.2400080 secs]
350.716: [GC 817482K(1502272K), 0.0958800 secs]
351.173: [GC 983919K->791623K(1502272K), 0.4463630 secs]
352.103: [GC 996103K->799061K(1502272K), 0.3684040 secs]
352.946: [GC 1003541K->803258K(1502272K), 0.2860830 secs]
353.615: [GC 1007738K->819604K(1502272K), 0.7111200 secs]
354.783: [GC 1024084K->819250K(1502272K), 0.1807610 secs]
355.446: [GC 1011198K->801747K(1502272K), 0.1726810 secs]
