335.524: [GC 827329K->493489K(929984K), 0.2225160 secs]
336.908: [GC 837233K->498513K(929600K), 0.1753540 secs]
337.084: [Full GC 498513K->385260K(987264K), 8.0452510 secs]
346.474: [GC 729004K->390508K(988928K), 0.0976060 secs]
348.551: [GC 737452K->393100K(989248K), 0.0993530 secs]
349.795: [GC 740044K->393100K(988544K), 0.0900590 secs]
351.953: [GC 744268K->393132K(989120K), 0.0895150 secs]
353.522: [GC 744300K->393132K(992384K), 0.0850410 secs]
355.972: [GC 753516K->393132K(993088K), 0.0902960 secs]
358.179: [GC 753516K->393100K(997440K), 0.1169010 secs]
359.505: [GC 764300K->393132K(998144K), 0.0838080 secs]
361.574: [GC 764332K->393132K(1003072K), 0.0872270 secs]
363.900: [GC 775852K->393164K(1003840K), 0.0899970 secs]
366.080: [GC 775884K->393132K(1009024K), 0.0911630 secs]
368.545: [GC 787436K->393132K(1009792K), 0.0878080 secs]
371.058: [GC 787436K->393132K(1014976K), 0.0927260 secs]
373.002: [GC 798636K->393164K(1015616K), 0.0877330 secs]
375.468: [GC 798668K->393196K(1020608K), 0.0804910 secs]
376.906: [GC 809196K->393180K(1021184K), 0.0920690 secs]
378.335: [GC 809180K->393252K(1027264K), 0.0513880 secs]
380.300: [GC 818084K->393204K(1027456K), 0.0361390 secs]
382.221: [GC 818036K->393212K(1029248K), 0.0309900 secs]
386.853: [GC 822972K->405572K(1029632K), 0.1806350 secs]
388.541: [GC 835332K->412108K(1031744K), 0.1814480 secs]
390.180: [GC 845388K->418356K(1020736K), 0.3138510 secs]
391.912: [GC 851636K->424860K(1021888K), 0.2784480 secs]
393.667: [GC 844252K->430852K(1019328K), 0.3057800 secs]
395.441: [GC 850244K->436844K(1007104K), 0.3362630 secs]
397.097: [GC 830892K->442564K(1005696K), 0.3707580 secs]
398.926: [GC 836612K->448204K(990400K), 0.4093000 secs]
400.645: [GC 811276K->453404K(985536K), 0.4319380 secs]
402.339: [GC 816476K->458604K(973504K), 0.4656630 secs]
403.905: [GC 788524K->463444K(962368K), 0.4838010 secs]
405.605: [GC 793364K->467900K(966208K), 0.5052090 secs]
407.181: [GC 773884K->472356K(969856K), 0.5245070 secs]
408.773: [GC 778340K->476748K(961344K), 0.4083940 secs]
410.238: [GC 783308K->481204K(965888K), 0.4045590 secs]
411.661: [GC 787764K->485676K(967680K), 0.3142020 secs]
413.046: [GC 805996K->490324K(970688K), 0.2780020 secs]
414.482: [GC 810644K->495028K(979072K), 0.2704370 secs]
415.929: [GC 830708K->500004K(981376K), 0.2408400 secs]
417.420: [GC 835684K->505356K(984704K), 0.2286870 secs]
418.821: [GC 849228K->510324K(986752K), 0.1973620 secs]
420.165: [GC 854196K->515180K(988928K), 0.2329610 secs]
421.354: [GC 864044K->520500K(990336K), 0.0603760 secs]
422.333: [GC 869364K->524564K(988992K), 0.0565270 secs]
423.336: [GC 876564K->524596K(990720K), 0.0308710 secs]
424.320: [GC 876596K->524596K(990720K), 0.0378700 secs]
425.459: [GC 882932K->524596K(992704K), 0.0271690 secs]
426.544: [GC 882932K->524596K(994560K), 0.0414880 secs]
427.107: [GC 892148K->524596K(996672K), 0.0277460 secs]
428.211: [GC 892148K->524596K(999552K), 0.0355770 secs]
428.821: [GC 902900K->524596K(1001728K), 0.0270870 secs]
429.387: [GC 902900K->524596K(1005312K), 0.0304930 secs]
430.005: [GC 914420K->524628K(1007424K), 0.0272960 secs]
430.686: [GC 914452K->524596K(1011200K), 0.0270610 secs]
431.460: [GC 925940K->524596K(1013312K), 0.0270780 secs]
432.654: [GC 925940K->524596K(1017088K), 0.0278330 secs]
433.568: [GC 937076K->524628K(1019136K), 0.0301290 secs]
435.152: [GC 937108K->524628K(1022848K), 0.0348220 secs]
435.820: [GC 947604K->524684K(1024704K), 0.0303860 secs]
437.119: [GC 947660K->524628K(1028544K), 0.0227070 secs]
437.804: [GC 956500K->524636K(1030400K), 0.0172020 secs]
439.690: [GC 956508K->537028K(1033728K), 0.0954960 secs]
440.435: [GC 975364K->543884K(1034560K), 0.0881160 secs]
441.131: [GC 982220K->550268K(1028352K), 0.1116850 secs]
441.870: [GC 980540K->556548K(1024512K), 0.1207020 secs]
442.613: [GC 986820K->563980K(1013184K), 0.1411390 secs]
443.340: [GC 970316K->569972K(1013952K), 0.1628910 secs]
444.054: [GC 976308K->575892K(994624K), 0.1678100 secs]
444.775: [GC 950740K->581404K(993920K), 0.1814750 secs]
445.536: [GC 956252K->586884K(978304K), 0.2166600 secs]
446.290: [GC 927172K->592844K(970752K), 0.2074510 secs]
446.958: [GC 933132K->597748K(960128K), 0.2225130 secs]
447.645: [GC 902068K->602052K(924736K), 0.2294980 secs]
448.500: [GC 906372K->606628K(969984K), 0.4378480 secs]
448.938: [Full GC 606628K->444513K(1040064K), 10.0519470 secs]
460.223: [GC 748449K->448897K(940672K), 0.1208270 secs]
461.456: [GC 752833K->453185K(1039424K), 0.1318620 secs]
462.598: [GC 758913K->458753K(952320K), 0.1740630 secs]
463.787: [GC 764481K->463041K(1041088K), 0.1935670 secs]
465.032: [GC 775553K->467601K(1036864K), 0.2664650 secs]
466.392: [GC 780113K->471881K(1044352K), 0.2032440 secs]
467.695: [GC 796041K->476545K(1041152K), 0.1931180 secs]
468.955: [GC 800705K->482649K(1053440K), 0.1678440 secs]
470.347: [GC 821657K->488021K(1051136K), 0.1431240 secs]
471.673: [GC 827029K->492957K(1059136K), 0.1403420 secs]
473.540: [GC 842909K->498709K(1056960K), 0.1829120 secs]
475.250: [GC 848661K->498717K(1063744K), 0.0845680 secs]
476.513: [GC 858461K->498717K(1061696K), 0.0304100 secs]
477.724: [GC 858461K->498749K(1069312K), 0.0337710 secs]
479.048: [GC 869309K->498749K(1067456K), 0.0756410 secs]
480.749: [GC 869309K->498717K(1074112K), 0.0542830 secs]
482.419: [GC 879837K->498717K(1072384K), 0.0433540 secs]
484.179: [GC 879837K->498717K(1079744K), 0.0560030 secs]
485.526: [GC 891229K->498717K(1078016K), 0.0503170 secs]
487.255: [GC 891229K->498781K(1085504K), 0.0340450 secs]
488.643: [GC 902813K->498781K(1083776K), 0.0347180 secs]
490.020: [GC 902813K->498749K(1091456K), 0.0507930 secs]
491.453: [GC 914109K->498781K(1089664K), 0.0380460 secs]
493.290: [GC 914141K->498813K(1097088K), 0.0330660 secs]
496.204: [GC 924797K->502653K(1095168K), 0.1403630 secs]
498.935: [GC 928637K->510205K(1100096K), 0.1832280 secs]
500.644: [GC 944189K->516485K(1099712K), 0.2233040 secs]
502.411: [GC 950469K->522573K(1099328K), 0.2357420 secs]
504.239: [GC 954381K->528765K(1094208K), 0.2724910 secs]
505.947: [GC 960573K->536133K(1084672K), 0.3202080 secs]
507.696: [GC 944773K->541901K(1084160K), 0.3510920 secs]
509.477: [GC 950541K->548053K(1067392K), 0.3778520 secs]
511.156: [GC 925717K->553437K(1064704K), 0.4632680 secs]
512.925: [GC 931101K->560005K(1049344K), 0.4373520 secs]
514.578: [GC 902853K->564909K(1041344K), 0.4887220 secs]
