483.369: [Full GC 1344765K->1120729K(1436288K), 10.6897730 secs]
494.995: [Full GC 1344764K->1126006K(1436288K), 9.5589000 secs]
505.718: [Full GC 1344764K->1131183K(1436288K), 13.0581650 secs]
519.834: [Full GC 1344764K->1136290K(1436288K), 12.6320770 secs]
533.517: [Full GC 1344764K->1141281K(1436288K), 14.4097680 secs]
548.989: [Full GC 1344764K->1145127K(1436288K), 11.7051880 secs]
561.565: [Full GC 1344764K->1149962K(1436288K), 11.7026590 secs]
574.161: [Full GC 1344764K->1154707K(1436288K), 11.8792140 secs]
586.966: [Full GC 1344764K->1159379K(1436288K), 13.8595910 secs]
601.784: [Full GC 1344764K->1163939K(1436288K), 10.4413830 secs]
612.274: [Full GC 1169367K->1164033K(1436288K), 12.8089650 secs]
626.013: [Full GC 1344764K->1167434K(1436288K), 14.0483280 secs]
640.840: [Full GC 1344764K->1171833K(1436288K), 9.9158300 secs]
651.546: [Full GC 1344764K->1176083K(1436288K), 10.0933400 secs]
662.398: [Full GC 1344765K->1179270K(1436288K), 12.8192960 secs]
676.251: [Full GC 1344765K->1183444K(1436288K), 11.3952370 secs]
688.325: [Full GC 1344765K->1187527K(1436288K), 13.4292320 secs]
702.441: [Full GC 1344765K->1190505K(1436288K), 12.7924130 secs]
715.987: [Full GC 1344765K->1194479K(1436288K), 13.9530740 secs]
730.666: [Full GC 1344764K->1198366K(1436288K), 11.9926160 secs]
743.306: [Full GC 1344767K->1201132K(1436288K), 12.2808860 secs]
756.256: [Full GC 1344767K->1204904K(1436288K), 11.8031600 secs]
768.778: [Full GC 1344767K->1207553K(1436288K), 12.6815850 secs]
782.310: [Full GC 1344767K->1211207K(1436288K), 12.4948820 secs]
795.408: [Full GC 1344767K->1213743K(1436288K), 12.6858960 secs]
808.700: [Full GC 1344767K->1217258K(1436288K), 12.1259060 secs]
821.412: [Full GC 1344767K->1220717K(1436288K), 14.3476580 secs]
836.336: [Full GC 1344767K->1223063K(1436288K), 12.5472490 secs]
849.420: [Full GC 1344767K->1226082K(1436288K), 11.8763660 secs]
862.087: [Full GC 1344767K->1228677K(1436288K), 14.7319410 secs]
877.447: [Full GC 1344767K->1230847K(1436288K), 13.8861750 secs]
891.883: [Full GC 1344767K->1234049K(1436288K), 16.2497170 secs]
908.891: [Full GC 1344767K->1236161K(1436288K), 17.0853400 secs]
926.373: [Full GC 1344767K->1239250K(1436288K), 13.9331450 secs]
940.699: [Full GC 1344767K->1241245K(1436288K), 11.6834510 secs]
952.966: [Full GC 1344767K->1244244K(1436288K), 12.7096390 secs]
